Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Field Label Only Not Used in Data Dictionary,Field 1
personnel1,crf_1_eligibility_consent_recruitment,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
timestamp1,crf_1_eligibility_consent_recruitment,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
desc_text_crf1,crf_1_eligibility_consent_recruitment,,descriptive,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",,,,,,,,,,,,,,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",
control,crf_1_eligibility_consent_recruitment,,radio,Is the participant part of Nustart controls?,"0, No | 1, Yes",,,,,,[cohort]='4',y,,,,,"@p1000lang{""English"":""Is the participant part of Nustart controls?"",""Swahili"":""Je mshiriki ni sehemu ya mradi wa NUSTART (control)"",""Cebuano"":""Is the participant part of Nustart controls?"",""Hiligaynon"":""Is the participant part of Nustart controls?""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}} @NOMISSING",Is the participant part of Nustart controls?,
desc_text_eligibility,crf_1_eligibility_consent_recruitment,Eligibility for NUSTART Lusaka controls,descriptive,"<div class=""red"" style=""text-align: left;"">To be eligible, NUSTART Lusaka controls must be<br /> <ul> <li>greater than 18 years old,</li> <li>never previously malnourished,</li> <li>and have known HIV status, either positive or negative.</li> </ul> People from local ART clinics can be assumed HIV-infected. Neighbours found HIV-infected should be referred for HIV care. Neighbours who refuse an HIV test are not eligible. They should be thanked and allowed to leave.</div>",,,,,,,[cohort]='4' and [control]='1',,,,,,,"<div class=""red"" style=""text-align: left;"">To be eligible, NUSTART Lusaka controls must be<br /> <ul> <li>greater than 18 years old,</li> <li>never previously malnourished,</li> <li>and have known HIV status, either positive or negative.</li> </ul> People from local ART clinics can be assumed HIV-infected. Neighbours found HIV-infected should be referred for HIV care. Neighbours who refuse an HIV test are not eligible. They should be thanked and allowed to leave.</div>",
cont_age,crf_1_eligibility_consent_recruitment,,radio,[1.3] > 18 years old?,"0, No | 1, Yes",,,,,,[cohort]='4' and [control]='1',y,,[1.3],,,"@p1000lang{""English"":""[1.3] > 18 years old?"",""Swahili"":""[1.3 ]Ana zaidi ya umri wa miaka 18?"",""Cebuano"":""[1.3] > 18 years old?"",""Hiligaynon"":""[1.3] > 18 years old?""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}} @NOMISSING",> 18 years old?,1.3
cont_site,crf_1_eligibility_consent_recruitment,,radio,"[1.4] recruitment site, i.e. ART clinic or neighbour of NUSTART Lusaka or other control","1, From a local ART clinic | 2, Neighbour | 3, Sibling | 4, Other",,,,,,[cohort]='4' and [control]='1',y,,[1.4],,,"@p1000lang{""English"":""[1.4] recruitment site, i.e. ART clinic or neighbour of NUSTART Lusaka or other control"",""Swahili"":""[1.4 ]sehemu ya usajili, kituo cha kutolea huduma ya VVU, au jirani wa NUSTART Lusaka au kwa washiriki wasio na maambukizi "",""Cebuano"":""[1.4] recruitment site, i.e. ART clinic or neighbour of NUSTART Lusaka or other control"",""Hiligaynon"":""[1.4] recruitment site, i.e. ART clinic or neighbour of NUSTART Lusaka or other control""} @p1000answers{""English"":{""1"":""From a local ART clinic"",""2"":""Neighbour"",""3"":""Sibling"",""4"":""Other""},""Swahili"":{""1"":""kutoka ART kliniki"",""2"":""Jirani"",""3"":""Ndugu/mdogo"",""4"":""Nyingine""},""Cebuano"":{""1"":""From a local ART clinic"",""2"":""Neighbour"",""3"":""Sibling"",""4"":""Other""},""Hiligaynon"":{""1"":""From a local ART clinic"",""2"":""Neighbour"",""3"":""Sibling"",""4"":""Other""}} @NOMISSING","recruitment site, i.e. ART clinic or neighbour of NUSTART Lusaka or other control",1.4
cont_mald,crf_1_eligibility_consent_recruitment,,radio,[1.5] Have you ever been diagnosed by a doctor as being malnourished?,"0, No | 1, Yes",,,,,,[cohort]='4' and [control]='1',y,,[1.5],,,"@p1000lang{""English"":""[1.5] Have you ever been diagnosed by a doctor as being malnourished?"",""Swahili"":""[1.5] Je ulishawahi kugundulika na daktari kuwa na utapiamlo"",""Cebuano"":""[1.5] Have you ever been diagnosed by a doctor as being malnourished?"",""Hiligaynon"":""[1.5] Have you ever been diagnosed by a doctor as being malnourished?""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}} @NOMISSING",Have you ever been diagnosed by a doctor as being malnourished?,1.5
cont_hiv_test,crf_1_eligibility_consent_recruitment,,radio,"[1.6] We need to know HIV status of NUSTART controls, half who will be infected and half uninfected","1, Known HIV-infected from ART clinic | 2, Willing to test for HIV and is positive | 3, Willing to test for HIV and is negative | 4, Refuses HIV test",,,,,,[cohort]='4' and [control]='1',y,,[1.6],,,"@p1000lang{""English"":""[1.6] We need to know HIV status of NUSTART controls, half who will be infected and half uninfected"",""Swahili"":""[1.6] Tunahitaji kufahamu hali ya maambukizi ya walengwa kutoka mradi wa lishe  kwa wasio na VVU...nusu watakaoambukizwa na nusu wasioambukizwa"",""Cebuano"":""[1.6] We need to know HIV status of NUSTART controls, half who will be infected and half uninfected"",""Hiligaynon"":""[1.6] We need to know HIV status of NUSTART controls, half who will be infected and half uninfected""} @p1000answers{""English"":{""1"":""Known HIV-infected from ART clinic"",""2"":""Willing to test for HIV and is positive"",""3"":""Willing to test for HIV and is negative"",""4"":""Refuses HIV test""},""Swahili"":{""1"":""waliombukizwa VVU wanajulikana kutoka kliniki ya dawa za VVU"",""2"":""yuko tayari kupima VVU na ana maambukizi"",""3"":""yuko tayari kupima VVU na hana maambukizi"",""4"":""Amekataa kupimwa VVU""},""Cebuano"":{""1"":""Known HIV-infected from ART clinic"",""2"":""Willing to test for HIV and is positive"",""3"":""Willing to test for HIV and is negative"",""4"":""Refuses HIV test""},""Hiligaynon"":{""1"":""Known HIV-infected from ART clinic"",""2"":""Willing to test for HIV and is positive"",""3"":""Willing to test for HIV and is negative"",""4"":""Refuses HIV test""}} @NOMISSING","We need to know HIV status of NUSTART controls, half who will be infected and half uninfected",1.6
desc_text_hiv_ref,crf_1_eligibility_consent_recruitment,,descriptive,"<div class=""red"" style=""text-align:left;"">
Neighbours who refuse an HIV test are not eligible. They should be thanked and allowed to leave.

</div>",,,,,,,[cohort]='4' and [control]='1' and [cont_hiv_test]='4',,,,,,,"<div class=""red"" style=""text-align:left;"">
Neighbours who refuse an HIV test are not eligible. They should be thanked and allowed to leave.

</div>",
cont_art,crf_1_eligibility_consent_recruitment,,radio,[1.7] Is the control on ART?,"1, Not HIV-infected | 2, Yes | 3, HIV-infected but not on ART",,,,,,[cohort]='4' and [control]='1',y,,[1.7],,,"@p1000lang{""English"":""[1.7] Is the control on ART?"",""Swahili"":""[1.7] je yupo kwenye dawa za ART???"",""Cebuano"":""[1.7] Is the control on ART?"",""Hiligaynon"":""[1.7] Is the control on ART?""} @p1000answers{""English"":{""1"":""Not HIV-infected"",""2"":""Yes"",""3"":""HIV-infected but not on ART""},""Swahili"":{""1"":""Hana maambukizi ya VVU"",""2"":""Ndio"",""3"":""Ana maambukizi ya Ukimwi lakini hajaanza kutumia dawa""},""Cebuano"":{""1"":""Not HIV-infected"",""2"":""Yes"",""3"":""HIV-infected but not on ART""},""Hiligaynon"":{""1"":""Not HIV-infected"",""2"":""Yes"",""3"":""HIV-infected but not on ART""}} @NOMISSING",Is the control on ART?,1.7
desc_text_hiv,crf_1_eligibility_consent_recruitment,,descriptive,"<div class=""red"" style=""text-align:left;"">
If the person is HIV-infected but not yet on ART, staff must facilitate the person’s access to services providing ART and other HIV care.

</div>",,,,,,,[cont_art]='3',,,,,,,"<div class=""red"" style=""text-align:left;"">
If the person is HIV-infected but not yet on ART, staff must facilitate the person’s access to services providing ART and other HIV care.

</div>",
cont_art_yrs,crf_1_eligibility_consent_recruitment,,text,"[1.8] If on ART, how many years have they been on ART?",,"Give years to within one year or, if < 1 year, write fractions of years, e.g. 0.5",number_1dp,,,,[cohort]='4' and [control]='1' AND [cont_art]='2',y,,[1.8],,,"@p1000lang{""English"":""[1.8] If on ART, how many years have they been on ART?"",""Swahili"":""[1.8]kama yuko kwenye dawa za UKIMWI, ni kwa miaka mingapi yuko kwenye dawa?"",""Cebuano"":""[1.8] If on ART, how many years have they been on ART?"",""Hiligaynon"":""[1.8] If on ART, how many years have they been on ART?""} @NOMISSING","If on ART, how many years have they been on ART?",1.8
explain,crf_1_eligibility_consent_recruitment,Consent - Basic,checkbox,"[1.9] Has the study been explained to the participant and, for child cohorts, their parents?","1, Yes",,,,,,,y,,[1.9],,,"@p1000lang{""English"":""[1.9] Has the study been explained to the participant and, for child cohorts, their parents?"",""Swahili"":""[1.9] Utafiti umeelezewa kwa mshiriki na, kwa washirki watoto na wazazi wao?"",""Cebuano"":""[1.9] Napasabut ba sa partisipante ug alang sa bata, sa ilang mga ginikanan ang parte sa pagtuon?"",""Hiligaynon"":""[1.9] Gin esplikar bala sa partisipante kag/ukon sa bata, sa ila ginikanan ang parte sa sin inga pag tuon?""} @p1000answers{""English"":{""1"":""Yes""},""Swahili"":{""1"":""Ndio""},""Cebuano"":{""1"":""Oo""},""Hiligaynon"":{""1"":""Huo""}} @NOMISSING","Has the study been explained to the participant and, for child cohorts, their parents?",1.9
rec_diab,crf_1_eligibility_consent_recruitment,,radio,Does the participant have diabetes as diagnosed by a doctor?,"0, No | 1, Yes, uncomplicated | 2, Yes with complications, e.g. blindness, peripheral neuropathy, amputation",,,,,,[explain(1)]='1',y,,,,,"@p1000lang{""English"":""Does the participant have diabetes as diagnosed by a doctor?"",""Swahili"":""Je mshiriki ana ugonjwa wa kisukari uliogundulika na daktari?"",""Cebuano"":""Ang partisipante aduna bay diabetes nga nadayagnos sa doctor?"",""Hiligaynon"":""Ang partisipante bala na diagnosed sg doctor nga my diabetes""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes, uncomplicated"",""2"":""Yes with complications, e.g. blindness, peripheral neuropathy, amputation""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio, haija na matatizo"",""2"":""Ndio,imesababisha matatizo/shida mfano upofu, ganzi,kukatwa kiungo cha mwili""},""Cebuano"":{""0"":""Wala"",""1"":""Oo, dili komplikado"",""2"":""Oo, nga adunay mga komplikasyon, e.g. pagkabuta, peripheral neuropathy, pagputol""},""Hiligaynon"":{""0"":""Wala"",""1"":""Huo, Indi komplikado"",""2"":""Huo, may komplikasyon, e.g. pagkabulag, peripheral neuropathy, pagkakompol""}}",Does the participant have diabetes as diagnosed by a doctor?,
rec_diab_drug,crf_1_eligibility_consent_recruitment,,checkbox,"If the person has been diagnosed with diabetes, what medication are they taking for it?

Check any medication bottles the person brought.","0, None (includes advice, e.g., to lose weight) | 1, Insulin | 2, Metformin | 3, Herbal or over-the-counter medicines | 4, Others",,,,,,([rec_diab]='1' or [rec_diab]='2') and [explain(1)]='1',y,,,,,"@p1000lang{""English"":""If the person has been diagnosed with diabetes, what medication are they taking for it? Check any medication bottles the person brought."",""Swahili"":""Kama mshiriki alishagundulika kuwa na ugonjwa wa kisukari, ni dawa zipi anatumia? Angalia chupa zozote za dawa ambazo amekuja nazo."",""Cebuano"":""Kon ang tawo nadayagnos nga adunay diabetes, unsang tambal ang ilang giinom alang niini?  Susiha ang bisan unsang mga botelya sa tambal nga gidala sa tawo"",""Hiligaynon"":""Kon ang partisipante na diagnosed sang diabetes, ano nga mga bulong ang iya gina inom para diri?  Tan awa ang mga bulong sa botelya nga ginabakal sang partisipante""} @p1000answers{""English"":{""0"":""None (includes advice, e.g., to lose weight)"",""1"":""Insulin"",""2"":""Metformin"",""3"":""Herbal or over-the-counter medicines"",""4"":""Others""},""Swahili"":{""0"":""Hakuna (ni pamoja na ushauri mfano kupunguza uzito)"",""1"":""Insulini"",""2"":""Metformin"",""3"":""Mitishamba au dawa anazojinunulia mwenyewe"",""4"":""Nyingine""},""Cebuano"":{""0"":""Wala (apil ang  pagtambag pananglitan pakunhod sa gibug - aton)"",""1"":""Insulin"",""2"":""Metformin"",""3"":""Herbal or over-the-counter medicines"",""4"":""Herbal or over-the-counter medicines""},""Hiligaynon"":{""0"":""Wala"",""1"":""Insulin"",""2"":""Metformin"",""3"":""Herbal or over-the-counter medicines"",""4"":""Others""}} @NONEOFTHEABOVE=""0""","If the person has been diagnosed with diabetes, what medication are they taking for it?

Check any medication bottles the person brought.",
insulin_dep,crf_1_eligibility_consent_recruitment,,radio,Do you routinely use insulin to control your diabetes?,"0, No | 1, Yes",,,,,,[rec_diab_drug(1)]='1',,,,,,"@p1000lang{""English"":""Do you routinely use insulin to control your diabetes?"",""Swahili"":""Je unatumia insulini mara kwa mara kutibu ugonjwa wako wa kisukari?"",""Cebuano"":""Naandan ba nimo ang paggamit  sa insulin aron makontrol ang imong diabetes?"",""Hiligaynon"":""Naga usar ka bala sang insulin  sang masami para ma control ang imo diabetes?)""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""Wala"",""1"":""Huo""}}",Do you routinely use insulin to control your diabetes?,
desc_diab_met,crf_1_eligibility_consent_recruitment,,descriptive,"<div class=""red"" style=""text-align: left;"">If the potential participant is taking drugs such as metformin which address problems of insulin resistance, they should be told that the OGTT requires them not to take their medicine for 24 hours before their clinic appointment. They should be assured that this 'medicine fast' is safe.</div>",,,,,,,[rec_diab_drug(2)]='1',,,,,,,"<div class=""red"" style=""text-align: left;"">If the potential participant is taking drugs such as metformin which address problems of insulin resistance, they should be told that the OGTT requires them not to take their medicine for 24 hours before their clinic appointment. They should be assured that this 'medicine fast' is safe.</div>",
desc_diab_ins,crf_1_eligibility_consent_recruitment,,descriptive,"<div class=""red"" style=""text-align: left;"">If the participant has diabetes and is insulin-dependent, they should not be part of SAMPA. For ethical reasons and to thank them for their interest and time, it may be appropriate to offer them a talk with the study physician if they have concerns related to their diabetes.</div>",,,,,,,[insulin_dep]='1',,,,,,,"<div class=""red"" style=""text-align: left;"">If the participant has diabetes and is insulin-dependent, they should not be part of SAMPA. For ethical reasons and to thank them for their interest and time, it may be appropriate to offer them a talk with the study physician if they have concerns related to their diabetes.</div>",
flag_insulin,crf_1_eligibility_consent_recruitment,,calc,Taking Insulin,"if(
[rec_diab_drug(1)]='1' and [insulin_dep]="""","""",
if(
[rec_diab_drug(1)]='1' and [insulin_dep]='0','0',
if(
[rec_diab_drug(1)]='1' and [insulin_dep]='1','1','0')))",,,,,,,,,,,,"@p1000lang{""English"":""Taking Insulin"",""Swahili"":""Kutumia insulini"",""Cebuano"":""Taking Insulin"",""Hiligaynon"":""Taking Insulin""}",Taking Insulin,
consent_basic,crf_1_eligibility_consent_recruitment,,radio,"[1.10] Participants must consent to either the standard (7 time point) or basic (3 time point) OGTT plus questionnaires and fecal and urine collection in order to consent to SAMPA overall.

All children in SAMPA should have just the basic 3 time point OGTT and should not be asked for the standard version with cannulas","1, Consents to standard OGTT  | 2, Consents to basic OGTT  | 3, Does not consent to either of the above",,,,,,[flag_insulin]='0' and [explain(1)]='1',y,,[1.10],,,"@p1000lang{""English"":""[1.10] Participants must consent to either the standard (7 time point) or basic (3 time point) OGTT plus questionnaires and fecal and urine collection in order to consent to SAMPA overall. All children in SAMPA should have just the basic 3 time point OGTT and should not be asked for the standard version with cannulas"",""Swahili"":""[1.10] Washiriki lazima waridhie kufanya kipimo cha OGTT cha sukari cha awamu 7 au 3, madodoso, kuchukua sampuli ya choo na mkojo ili kushiriki kwenye utafiti huu. Watoto wote kutoka mradi wa SAMPA wanalazimika tu kupata kipimo cha sukari cha OGTT cha awamu 3. "",""Cebuano"":""[1.10] Participants must consent to either the standard (7 time point) or basic (3 time point) OGTT plus questionnaires and fecal and urine collection in order to consent to SAMPA overall. All children in SAMPA should have just the basic 3 time point OGTT and should not be asked for the standard version with cannulas"",""Hiligaynon"":""[1.10] Participants must consent to either the standard (7 time point) or basic (3 time point) OGTT plus questionnaires and fecal and urine collection in order to consent to SAMPA overall. All children in SAMPA should have just the basic 3 time point OGTT and should not be asked for the standard version with cannulas""} @p1000answers{""English"":{""1"":""Consents to standard OGTT "",""2"":""Consents to basic OGTT"",""3"":""Does not consent to either of the above""},""Swahili"":{""1"":""ameridhia kipimo cha sukari cha OGTT cha awamu 7 "",""2"":""ameridhia kwa kipimo cha sukari cha OGTT cha awamu 3"",""3"":""hakuridhia kwa chochote hapo juu.""},""Cebuano"":{""1"":""Consents to standard OGTT "",""2"":""Consents to basic OGTT"",""3"":""Does not consent to either of the above""},""Hiligaynon"":{""1"":""Consents to standard OGTT "",""2"":""Consents to basic OGTT"",""3"":""Does not consent to either of the above""}} @NOMISSING","Participants must consent to either the standard (7 time point) or basic (3 time point) OGTT plus questionnaires and fecal and urine collection in order to consent to SAMPA overall.

All children in SAMPA should have just the basic 3 time point OGTT and should not be asked for the standard version with cannulas",1.1
consent_stan_child,crf_1_eligibility_consent_recruitment,,descriptive,"<div class=""red"" style=""text-align:left;"">
Children should consent to BASIC OGTT only. Please review selection.
</div>",,,,,,,([cohort]='1' or [cohort]='2' ) and [consent_basic]='1',,,,,,,"<div class=""red"" style=""text-align:left;"">
Children should consent to BASIC OGTT only. Please review selection.
</div>",
assent,crf_1_eligibility_consent_recruitment,,radio,[1.11] Has the child given assent after parental consent?,"0, No | 1, Yes",,,,,,[cohort] < 3 AND ([consent_basic]=1 or [consent_basic]='2') AND [flag_insulin]='0',y,,[1.11],,,"@p1000lang{""English"":""[1.11] Has the child given assent after parental consent?"",""Swahili"":""[1.11] Je mtoto amepewa idhini baada ya ridhaa ya mzazi"",""Cebuano"":""[1.11] Has the child given assent after parental consent?"",""Hiligaynon"":""[1.11] Has the child given assent after parental consent?""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}} @NOMISSING",Has the child given assent after parental consent?,1.11
desc_text_consent,crf_1_eligibility_consent_recruitment,,descriptive,"<div class=""red"" style=""text-align:left;"">
If the participant or their parents have not given consent to the basic study and, for DIVIDS and SAM Lusaka, the child has not given assent, then they should not be recruited. Thank them and allow them to leave.
</div>",,,,,,,[consent_basic]='3' OR [assent]='0',,,,,,,"<div class=""red"" style=""text-align:left;"">
If the participant or their parents have not given consent to the basic study and, for DIVIDS and SAM Lusaka, the child has not given assent, then they should not be recruited. Thank them and allow them to leave.
</div>",
